2023-10-14 00:02:29,367 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: yeuvjnnhjeu, money exchange= 3920
2023-10-14 00:02:29,396 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: zuiqualazui, money exchange= -35000
2023-10-14 00:02:29,410 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: ngocnhucon0c, money exchange= 9800
2023-10-14 00:02:29,423 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: biahoikimbai333, money exchange= 24500
2023-10-14 00:02:29,912 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: bachnhigoty, money exchange= -300
2023-10-14 00:02:29,933 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: dauphailatatca, money exchange= 294
2023-10-14 00:02:30,360 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: nongthenhj, money exchange= -500
2023-10-14 00:02:30,382 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: anhchecckcho, money exchange= 490
2023-10-14 00:02:31,406 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: DungLXTH, money exchange= -200
2023-10-14 00:02:31,424 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: trangchuhong, money exchange= 196
2023-10-14 00:02:31,895 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: thienbinhcongchua, money exchange= -5000
2023-10-14 00:02:31,909 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: binhtinhsegiau, money exchange= 4900
2023-10-14 00:02:32,909 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Lanhsunchym, money exchange= 490
2023-10-14 00:02:32,916 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: heloinhoaq1, money exchange= -400
2023-10-14 00:02:32,930 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: Chomcaine, money exchange= -500
2023-10-14 00:02:32,933 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: thugian12, money exchange= 392
2023-10-14 00:02:39,425 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: binhchuachay4, money exchange= 98
2023-10-14 00:02:39,434 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: simacula, money exchange= 100
2023-10-14 00:02:41,397 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: Quanrachdung, money exchange= -20000
2023-10-14 00:02:41,399 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: vailadanhe3, money exchange= -4000
2023-10-14 00:02:41,412 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: taisaoxdimai, money exchange= 19600
2023-10-14 00:02:41,415 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: Zjnzjnxjk, money exchange= 3920
2023-10-14 00:02:42,403 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: nhjnnee, money exchange= -1000
2023-10-14 00:02:42,422 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: dongsuoy, money exchange= 980
2023-10-14 00:02:42,881 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: thichngungay, money exchange= -20000
2023-10-14 00:02:42,894 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: emkobietdau, money exchange= 19600
2023-10-14 00:02:43,350 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: buocchantrencat, money exchange= -16000
2023-10-14 00:02:43,362 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: lonhetcame, money exchange= 15680
2023-10-14 00:02:44,403 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: namconheo3, money exchange= -1000
2023-10-14 00:02:44,418 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: gaothettenem, money exchange= 980
2023-10-14 00:02:45,349 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: nghiencaothap, money exchange= -500
2023-10-14 00:02:45,371 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: cuccu22, money exchange= 490
2023-10-14 00:02:45,897 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: nhaymatthang, money exchange= 3920
2023-10-14 00:02:45,909 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: boketban, money exchange= -4000
2023-10-14 00:02:46,407 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: ckemodau, money exchange= -200
2023-10-14 00:02:46,424 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: hatluongchua, money exchange= 196
2023-10-14 00:02:46,904 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: Caichoise, money exchange= -1000
2023-10-14 00:02:46,910 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: cayxauho, money exchange= 196
2023-10-14 00:02:46,920 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: Luagavaochuong, money exchange= 980
2023-10-14 00:02:46,924 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: gunshot9x, money exchange= -200
2023-10-14 00:02:47,345 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: canhchuacaloc6, money exchange= -24000
2023-10-14 00:02:47,361 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: maytui3gang, money exchange= 13720
2023-10-14 00:02:47,374 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: tranvannghia44, money exchange= 9800
2023-10-14 00:02:47,893 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: Donkey3bi, money exchange= 19600
2023-10-14 00:02:47,906 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: Pumbaa9x, money exchange= -20000
2023-10-14 00:02:48,896 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: oivail, money exchange= -16000
2023-10-14 00:02:48,899 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: bichnhi1203, money exchange= 1960
2023-10-14 00:02:48,912 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: CheSaiGon, money exchange= 15680
2023-10-14 00:02:48,913 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: Chuyenchoivin, money exchange= -100
2023-10-14 00:02:48,916 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: canhtrungcachua, money exchange= -2000
2023-10-14 00:02:48,928 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: conghoisad, money exchange= 98
2023-10-14 00:02:49,350 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: Kieucang1, money exchange= -9500
2023-10-14 00:02:49,370 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: chienbinh, money exchange= -10500
2023-10-14 00:02:49,385 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: Luagavaochuong4, money exchange= 19600
2023-10-14 00:02:58,417 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: cutunhjen, money exchange= 1960
2023-10-14 00:02:58,432 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: luoncuoiden, money exchange= 98000
2023-10-14 00:02:58,433 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: dautr0ct0cdaj, money exchange= 4900
2023-10-14 00:03:01,901 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: Helboy11239, money exchange= 3920
2023-10-14 00:03:11,359 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: toolquaytron, money exchange= -38000
2023-10-14 00:03:11,362 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: bjcanthj1990, money exchange= 7840
2023-10-14 00:03:11,375 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: HuynhAnhHN9x, money exchange= 70560
2023-10-14 00:03:11,392 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: thabetroisong, money exchange= -10000
2023-10-14 00:03:11,406 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: nhanhlamemaj, money exchange= 9800
2023-10-14 00:03:12,890 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: muaheyeuthuong, money exchange= -80000
2023-10-14 00:03:12,904 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: chiaeitloc, money exchange= 78400
2023-10-14 00:03:13,399 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: zuiqualazui, money exchange= -5000
2023-10-14 00:03:13,400 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: nanchungca, money exchange= -35000
2023-10-14 00:03:13,409 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: trangchuhong, money exchange= -200
2023-10-14 00:03:13,418 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: biahoikimbai333, money exchange= 4900
2023-10-14 00:03:13,419 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: contrautrang15, money exchange= 34300
2023-10-14 00:03:13,425 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: gialank, money exchange= 196
