26 Sep 2023 | 01:27:31,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:28:36,334 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:28:36,337 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:28:36,339 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:28:36,340 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:28:36,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:28:36,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:29:41,330 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:29:41,333 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:29:41,335 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:29:41,336 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:29:41,373 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:29:41,373 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:30:46,337 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:30:46,341 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:30:46,344 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:30:46,351 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:30:46,372 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:30:46,380 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:31:51,334 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:31:51,337 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:31:51,341 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:31:51,343 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:31:51,373 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:31:51,373 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:32:56,330 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:32:56,332 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:32:56,336 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
